iter	Passed	Remaining
0	2	239
1	4	225
2	6	215
3	8	197
4	12	229
5	14	222
6	16	215
7	18	209
8	20	205
9	22	201
10	25	207
11	27	203
12	29	199
13	31	194
14	35	201
15	37	196
16	40	200
17	42	195
18	44	190
19	46	186
20	49	186
21	51	182
22	53	180
23	55	177
24	57	173
25	59	170
26	61	166
27	63	163
28	69	170
29	75	176
30	77	173
31	81	172
32	83	168
33	85	165
34	89	166
35	91	162
36	94	161
37	96	158
38	99	154
39	101	151
40	106	152
41	106	147
42	108	144
43	110	141
44	114	139
45	116	136
46	119	134
47	120	131
48	122	127
49	124	124
50	126	121
51	128	118
52	130	115
53	134	114
54	135	110
55	137	108
56	139	105
57	141	102
58	143	99
59	146	97
60	148	95
61	150	92
62	152	89
63	154	87
64	156	84
65	159	82
66	162	79
67	164	77
68	166	74
69	168	72
70	171	69
71	173	67
72	175	64
73	177	62
74	181	60
75	184	58
76	191	57
77	193	54
78	195	52
79	199	49
80	203	47
81	205	45
82	208	42
83	211	40
84	213	37
85	215	35
86	218	32
87	220	30
88	222	27
89	224	24
90	226	22
91	229	19
92	234	17
93	236	15
94	238	12
95	240	10
96	242	7
97	246	5
98	248	2
99	250	0
