iter	Passed	Remaining
0	417	416977
1	420	209604
2	426	141682
3	429	106915
4	431	85934
5	482	80000
6	485	68858
7	492	61100
8	495	54520
9	498	49383
10	508	45692
11	513	42262
12	523	39755
13	527	37184
14	577	37954
15	783	48156
16	786	45453
17	800	43697
18	816	42175
19	833	40828
20	845	39406
21	860	38231
22	873	37101
23	880	35807
24	993	38741
25	1037	38848
26	1043	37615
27	1046	36322
28	1070	35839
29	1073	34698
30	1078	33704
31	1090	32983
32	1092	32025
33	1119	31800
34	1139	31405
35	1150	30810
36	1153	30029
37	1156	29285
38	1340	33042
39	1344	32275
40	1348	31536
41	1356	30942
42	1377	30648
43	1380	30000
44	1383	29365
45	1397	28982
46	1404	28469
47	1407	27906
48	1410	27378
49	1413	26859
50	1426	26542
51	1450	26452
52	1462	26128
53	1470	25759
54	1474	25334
55	1478	24916
56	1480	24496
57	1485	24118
58	1492	23810
59	1671	26185
60	1674	25771
61	1677	25375
62	1680	24991
63	1683	24617
64	1686	24254
65	1688	23900
66	1691	23554
67	1696	23255
68	1699	22927
69	1702	22613
70	2003	26208
71	2016	25994
72	2019	25640
73	2033	25441
74	2044	25219
75	2047	24890
76	2085	24999
77	2127	25148
78	2133	24870
79	2145	24674
80	2149	24388
81	2180	24405
82	2180	24096
83	2183	23809
84	2191	23591
85	2193	23316
86	2197	23061
87	2205	22852
88	2208	22604
89	2212	22373
90	2222	22195
91	2255	22259
92	2287	22310
93	2291	22087
94	2299	21905
95	2301	21674
96	2304	21457
97	2307	21236
98	2363	21510
99	2365	21292
100	2372	21116
101	2378	20942
102	2382	20746
103	2437	21002
104	2446	20857
105	2461	20759
106	2466	20587
107	2473	20432
108	2476	20241
109	2478	20055
110	2481	19871
111	2488	19728
112	2490	19552
113	2641	20529
114	2644	20353
115	2647	20175
116	2651	20008
117	2658	19867
118	2661	19701
119	2663	19531
120	2665	19364
121	2678	19278
122	2682	19123
123	2689	19000
124	2691	18843
125	2694	18688
126	2697	18540
127	2701	18406
128	2708	18288
129	2711	18143
130	2713	18000
131	2716	17863
132	2724	17757
133	2726	17620
134	2729	17488
135	2733	17366
136	2742	17276
137	2857	17847
138	2862	17733
139	2865	17604
140	2887	17589
141	2889	17456
142	2892	17335
143	2894	17208
144	2897	17083
145	2900	16968
146	2903	16847
147	2907	16739
148	2910	16621
149	2912	16505
150	2952	16602
151	2955	16488
152	2957	16374
153	2961	16269
154	2968	16183
155	2970	16073
156	2973	15964
157	2988	15925
158	2991	15822
159	2998	15740
160	2999	15631
161	3004	15540
162	3007	15443
163	3011	15353
164	3017	15272
165	3020	15174
166	3042	15177
167	3059	15149
168	3072	15107
169	3074	15013
170	3080	14933
171	3084	14848
172	3087	14760
173	3090	14669
174	3092	14581
175	3102	14527
176	3107	14450
177	3110	14364
178	3113	14279
179	3117	14204
180	3120	14119
181	3143	14127
182	3146	14045
183	3150	13970
184	3153	13891
185	3161	13833
186	3163	13754
187	3166	13674
188	3169	13598
189	3177	13546
190	3180	13473
191	3183	13396
192	3208	13415
193	3211	13344
194	3214	13269
195	3232	13259
196	3236	13193
197	3239	13122
198	3242	13050
199	3246	12986
200	3253	12933
201	3256	12863
202	3258	12793
203	3261	12727
204	3267	12671
205	3270	12605
206	3273	12541
207	3276	12474
208	3278	12408
209	3284	12357
210	3287	12293
211	3290	12231
212	3294	12171
213	3297	12110
214	3300	12049
215	3303	11988
216	3309	11940
217	3316	11898
218	3319	11837
219	3321	11777
220	3324	11717
221	3329	11666
222	3331	11609
223	3334	11551
224	3340	11505
225	3346	11460
226	3350	11407
227	3352	11350
228	3354	11294
229	3364	11264
230	3367	11211
231	3370	11156
232	3379	11123
233	3381	11069
234	3384	11016
235	3386	10962
236	3391	10918
237	3394	10868
238	3396	10815
239	3399	10764
240	3402	10715
241	3409	10678
242	3411	10627
243	3413	10577
244	3417	10530
245	3423	10493
246	3426	10446
247	3429	10397
248	3434	10358
249	3440	10322
250	3443	10275
251	3445	10227
252	3448	10181
253	3452	10140
254	3455	10094
255	3458	10052
256	3473	10040
257	3475	9995
258	3478	9952
259	3481	9907
260	3484	9865
261	3487	9822
262	3492	9786
263	3494	9742
264	3501	9712
265	3504	9670
266	3507	9630
267	3510	9587
268	3512	9545
269	3537	9563
270	3540	9523
271	3542	9481
272	3555	9467
273	3557	9426
274	3559	9384
275	3568	9361
276	3570	9320
277	3573	9280
278	3576	9241
279	3583	9214
280	3585	9175
281	3588	9135
282	3590	9097
283	3599	9073
284	3602	9036
285	3604	8998
286	3613	8977
287	3616	8940
288	3618	8902
289	3621	8866
290	3641	8872
291	3644	8836
292	3649	8805
293	3651	8768
294	3654	8734
295	3661	8707
296	3665	8676
297	3668	8641
298	3670	8606
299	3683	8594
300	3685	8559
301	3696	8542
302	3699	8510
303	3701	8475
304	3708	8451
305	3711	8418
306	3714	8384
307	3751	8429
308	3755	8398
309	3758	8364
310	3795	8409
311	3798	8375
312	3800	8341
313	3815	8335
314	3890	8460
315	3894	8430
316	3897	8396
317	3899	8363
318	3903	8332
319	3905	8299
320	3907	8266
321	3913	8240
322	3954	8288
323	3956	8255
324	3959	8223
325	3962	8193
326	3966	8164
327	3969	8132
328	4032	8224
329	4035	8193
330	4037	8161
331	4040	8128
332	4065	8143
333	4068	8112
334	4081	8101
335	4083	8070
336	4086	8038
337	4088	8007
338	4177	8146
339	4180	8115
340	4184	8086
341	4186	8055
342	4191	8028
343	4194	7997
344	4197	7969
345	4250	8034
346	4253	8004
347	4256	7975
348	4259	7945
349	4267	7926
350	4270	7896
351	4273	7866
352	4275	7836
353	4278	7806
354	4285	7786
355	4288	7757
356	4290	7727
357	4319	7745
358	4322	7717
359	4324	7688
360	4327	7660
361	4330	7631
362	4333	7603
363	4336	7577
364	4362	7590
365	4365	7561
366	4367	7533
367	4370	7506
368	4379	7489
369	4382	7461
370	4385	7436
371	4391	7413
372	4394	7387
373	4396	7359
374	4400	7334
375	4403	7307
376	4406	7282
377	4409	7256
378	4424	7249
379	4427	7223
380	4430	7197
381	4434	7173
382	4442	7157
383	4445	7131
384	4447	7104
385	4466	7104
386	4473	7086
387	4477	7062
388	4481	7038
389	4483	7012
390	4490	6993
391	4492	6967
392	4494	6942
393	4497	6916
394	4501	6894
395	4504	6870
396	4506	6845
397	4573	6917
398	4575	6892
399	4578	6867
400	4580	6842
401	4588	6824
402	4590	6800
403	4592	6775
404	4594	6750
405	4600	6730
406	4602	6706
407	4605	6681
408	4607	6657
409	4609	6633
410	4634	6642
411	4637	6619
412	4640	6595
413	4643	6572
414	4647	6551
415	4655	6535
416	4659	6513
417	4677	6512
418	4684	6495
419	4686	6472
420	4689	6449
421	4691	6425
422	4696	6406
